"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","38.437508","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","27","2","52.573887","0","457"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","29","3","142.587845","0","61"
"Globals","0","2637","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","1","1","8.359371","0","65"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","4.087375","0","41"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","2","1","87.507019","0","149"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","1","1","5.511131","0","27"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","5.237252","0","15"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.346137","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","4","1","45.941246","0","33"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","3","1","90.494308","0","111"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.297906","0","3"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","5.505740","0","8"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","6.312403","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","5","1","150.031006","0","652"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","6","1","231.097733","0","1066"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","623","10","1","253.014191","0","24958"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","11","1","233.108948","0","1061"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","2","1","586.915161","0","2611"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.310337","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","4.687036","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","4.476697","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","5","1","87.833466","0","119"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","4.340731","0","14"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.440220","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","2","1","45.124050","0","42"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","4.433320","0","8"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","50","13","1","94.412239","0","249"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","10","1","164.112885","0","257"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","3.090460","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","6.364692","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","119","119","1","155.100845","0","119"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","936","962","1","1665.242432","0","962"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","8","1","58.364929","0","169"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","1.605184","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","1.840554","0","4"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","19","3","1","6.666516","0","51"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","3.615531","0","8"
